portal_id	gwas_source_category	legacy_phenotype_id	phenotype_name	legacy_trait_group	trait_group	trait_type	pigean_id
PORTAL:0004795	gcat_trait	gcat_trait_level_of_disintegrin_and_metalloproteinase_domaincontaining_protein_23_in_blood_serum	level of disintegrin and metalloproteinase domain-containing protein 23 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004796	gcat_trait	gcat_trait_level_of_disintegrin_and_metalloproteinase_domaincontaining_protein_8_in_blood_serum	level of disintegrin and metalloproteinase domain-containing protein 8 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004797	gcat_trait	gcat_trait_level_of_dynamin1_in_blood_serum	level of dynamin-1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004798	gcat_trait	gcat_trait_level_of_dynein_light_chain_Tctextype_1_in_blood_serum	level of dynein light chain Tctex-type 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004799	gcat_trait	gcat_trait_level_of_early_placenta_insulinlike_peptide_in_blood_serum	level of early placenta insulin-like peptide in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004800	gcat_trait	gcat_trait_level_of_ectoADPribosyltransferase_3_in_blood_serum	level of ecto-ADP-ribosyltransferase 3 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004801	gcat_trait	gcat_trait_level_of_ectonucleoside_triphosphate_diphosphohydrolase_2_in_blood_serum	level of ectonucleoside triphosphate diphosphohydrolase 2 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004802	gcat_trait	gcat_trait_level_of_ectonucleoside_triphosphate_diphosphohydrolase_6_in_blood_serum	level of ectonucleoside triphosphate diphosphohydrolase 6 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004803	gcat_trait	gcat_trait_level_of_ectonucleotide_pyrophosphatasephosphodiesterase_family_member_2_in_blood_serum	level of ectonucleotide pyrophosphatase/phosphodiesterase family member 2 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004804	gcat_trait	gcat_trait_level_of_ectonucleotide_pyrophosphatasephosphodiesterase_family_member_5_in_blood_serum	level of ectonucleotide pyrophosphatase/phosphodiesterase family member 5 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004805	gcat_trait	gcat_trait_level_of_egl_nine_homolog_1_in_blood_serum	level of egl nine homolog 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004806	gcat_trait	gcat_trait_level_of_endophilinB2_in_blood_serum	level of endophilin-B2 in blood serum	PROTEIN_BIOLOGY	protein_biology	stratified	
PORTAL:0004807	gcat_trait	gcat_trait_level_of_endosialin_in_blood_serum	level of endosialin in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004808	gcat_trait	gcat_trait_level_of_endothelial_protein_C_receptor_in_blood_serum	level of endothelial protein C receptor in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
